Microservice | Replicas,AvgTime, MinTime, MaxTime
teastore-webui| R1,0.04163212776184082,0.03696250915527344,0.06370759010314941
teastore-webui| R2,4.036211204528809,3.2135579586029053,5.287768363952637
teastore-webui| R5,6.202820777893066,5.161137819290161,8.208048820495605
teastore-webui| R10,13.233635520935058,10.208789348602295,15.659531354904175
teastore-webui| R20,17.441969442367554,15.91626238822937,18.945903301239014
teastore-persistence| R1,0.06458544731140137,0.05943703651428223,0.07912588119506836
teastore-persistence| R2,4.18571367263794,3.1678402423858643,6.181095838546753
teastore-persistence| R5,6.420899128913879,5.086925268173218,8.903198957443237
teastore-persistence| R10,12.992239022254944,9.981287956237793,15.887328863143921
teastore-persistence| R20,17.39625747203827,15.113266468048096,19.906359434127808
