Microservice | Replicas,AvgTime, MinTime, MaxTime
teastore-webui| R1,0.0436842679977417,0.04002213478088379,0.07257509231567383
teastore-webui| R2,4.558598160743713,3.602400302886963,5.746012926101685
teastore-webui| R5,13.12458268404007,10.542351245880127,17.002124786376953
teastore-webui| R10,17.673271882534028,15.14487886428833,20.296940565109253
teastore-webui| R20,30.617582821846007,28.32769227027893,33.88322567939758
teastore-persistence| R1,0.06662552356719971,0.06301021575927734,0.09054255485534668
teastore-persistence| R2,4.4668946146965025,3.50557804107666,5.713546991348267
teastore-persistence| R5,12.901146161556245,8.625319242477417,17.365196466445923
teastore-persistence| R10,18.598710930347444,15.645274639129639,21.886196613311768
teastore-persistence| R20,30.9144784450531,27.758203744888306,34.12317419052124
teastore-recommender| R1,0.09091355800628662,0.08561444282531738,0.12092256546020508
teastore-recommender| R2,4.299189496040344,3.1448981761932373,6.096521615982056
teastore-recommender| R5,12.916516244411469,10.33968710899353,16.908801078796387
teastore-recommender| R10,18.760280740261077,15.149184226989746,22.047943115234375
teastore-recommender| R20,30.84529757499695,29.358585357666016,33.415016412734985
