Microservice | Replicas,AvgTime, MinTime, MaxTime
teastore-webui | R1,0.020532107353210448,0.019488811492919922,0.024515151977539062
teastore-webui | R1,1.934836483001709,1.5624921321868896,2.263357400894165
teastore-webui | R1,3.044530987739563,3.0293822288513184,3.0699825286865234
teastore-webui | R1,7.756727886199951,7.414129734039307,8.025808095932007
teastore-webui | R1,15.797321152687072,14.238363265991211,17.24298906326294
