Microservice | Replicas,AvgTime-R1, MinTime-R1, MaxTime-R1,AvgTime-R2, MinTime-R2, MaxTime-R2,AvgTime-R5, MinTime-R5, MaxTime-R5,AvgTime-R10, MinTime-R10, MaxTime-R10,AvgTime-R20, MinTime-R20, MaxTime-R20,
teastore-webui| R1,0.025136613845825197,0.023342370986938477,0.0263519287109375
teastore-webui| R2,1.8103998899459839,1.3280861377716064,2.1538801193237305
teastore-webui| R5,3.091694641113281,3.0828752517700195,3.1227378845214844
teastore-webui| R10,7.1223818302154545,7.034898281097412,7.446407079696655
teastore-webui| R20,15.601592850685119,14.237695455551147,17.447529077529907
