Microservice | Replicas,AvgTime, MinTime, MaxTime
teastore-recommender| R1,0.04270870685577392,0.02945542335510254,0.09445738792419434
teastore-recommender| R2,2.7140102624893188,2.028933048248291,3.889204263687134
teastore-recommender| R5,9.402973318099976,7.356281042098999,10.304545879364014
teastore-recommender| R10,21.18049477338791,19.458727836608887,25.319753408432007
