Microservice | Replicas ,AvgTime               ,MinTime              ,MaxTime
teastore-webui| R1      , 0.029513621330261232 , 0.02759528160095215 , 0.035811662673950195
teastore-webui| R2      , 2.126977825164795    , 1.7437636852264404  , 2.474318265914917
teastore-webui| R5      , 3.104669284820557    , 3.0730626583099365  , 3.1407501697540283
teastore-webui| R10     , 7.382846760749817    , 6.8650147914886475  ,10.150304555892944
teastore-webui| R20     ,16.35052819252014     ,14.846784114837646   ,17.45673418045044
