Microservice | Replicas,AvgTime, MinTime, MaxTime
teastore-webui| R1,0.04628498554229736,0.04117894172668457,0.06953048706054688
teastore-webui| R2,4.242583477497101,3.4522712230682373,5.717640161514282
teastore-webui| R5,11.617645502090454,7.201521158218384,15.60319995880127
teastore-webui| R10,17.691479980945587,14.985478401184082,21.586894989013672
teastore-persistence| R1,0.07234623432159423,0.06389856338500977,0.11692237854003906
teastore-persistence| R2,4.199712336063385,3.2896838188171387,5.316690921783447
teastore-persistence| R5,12.075878071784974,8.970768213272095,16.30339288711548
teastore-persistence| R10,17.74059489965439,15.086084842681885,21.496659517288208
teastore-recommender| R1,0.09773849248886109,0.08731293678283691,0.14200091361999512
teastore-recommender| R2,4.33195481300354,3.291721820831299,5.504228115081787
teastore-recommender| R5,11.691177010536194,8.56395173072815,15.627132415771484
teastore-recommender| R10,17.831980335712434,15.298022508621216,21.86477565765381
