Microservice | Replicas,AvgTime, MinTime, MaxTime
teastore-webui| R1,4.25298044681549,0.0356755256652832,42.19230818748474
teastore-webui| R2,3.927501654624939,3.4232301712036133,5.009498357772827
teastore-webui| R5,9.290584206581116,7.962298393249512,11.319689512252808
teastore-webui| R10,14.345792984962463,12.963885068893433,16.317227363586426
teastore-webui| R20,23.10902605056763,21.788283586502075,24.57152771949768
teastore-persistence| R1,4.2377626419067385,0.05811595916748047,41.774275064468384
teastore-persistence| R2,3.9748916387557984,3.1577696800231934,4.623800992965698
teastore-persistence| R5,9.179507398605347,7.522461652755737,12.918046474456787
teastore-persistence| R10,14.180221033096313,12.760335683822632,16.001892566680908
teastore-persistence| R20,23.11494846343994,21.98169732093811,24.997483730316162
